epoch,step,val_loss
0,0,0.7013475298881531
0,1,0.6953862905502319
0,2,0.704308032989502
0,3,0.7058187127113342
0,4,0.703308641910553
1,5,0.6976132988929749
1,6,0.6917880773544312
1,7,0.684645414352417
1,8,0.6815747022628784
1,9,0.6808896660804749
2,10,0.6783332228660583
2,11,0.6759912967681885
2,12,0.6762840747833252
2,13,0.6819950938224792
2,14,0.6885390281677246
3,15,0.6854708194732666
3,16,0.6786350011825562
3,17,0.6733312010765076
3,18,0.674146831035614
3,19,0.6759201288223267
4,20,0.676655113697052
4,21,0.6711878776550293
4,22,0.6655943393707275
4,23,0.6805992126464844
4,24,0.6933149099349976
5,25,0.6769185662269592
5,26,0.6627102494239807
5,27,0.6589824557304382
5,28,0.6597015261650085
5,29,0.661884069442749
6,30,0.6602751016616821
6,31,0.6552408337593079
6,32,0.6555922627449036
6,33,0.6637975573539734
6,34,0.6657474637031555
7,35,0.6582077741622925
7,36,0.6635317802429199
7,37,0.6709730625152588
7,38,0.6648979187011719
7,39,0.6657809615135193
8,40,0.6772018671035767
8,41,0.6900532245635986
8,42,0.6816534996032715
8,43,0.6643638610839844
8,44,0.6666801571846008
9,45,0.6798405647277832
9,46,0.6842801570892334
9,47,0.6654452681541443
9,48,0.662027895450592
9,49,0.6751262545585632
10,50,0.6877575516700745
10,51,0.6772992610931396
10,52,0.6596609354019165
10,53,0.6570756435394287
10,54,0.6597049236297607
11,55,0.6574559211730957
11,56,0.6567530035972595
11,57,0.6504503488540649
11,58,0.6441658735275269
11,59,0.6484603881835938
12,60,0.6568925380706787
12,61,0.6592864990234375
12,62,0.6580549478530884
12,63,0.6518996357917786
12,64,0.6430344581604004
13,65,0.6468061804771423
13,66,0.6617674827575684
13,67,0.6653954982757568
13,68,0.6527848839759827
13,69,0.6423766613006592
14,70,0.654167890548706
14,71,0.6701216101646423
14,72,0.6677724719047546
14,73,0.6557618975639343
14,74,0.6425254940986633
15,75,0.6353499889373779
15,76,0.6367730498313904
15,77,0.6398717761039734
15,78,0.641032874584198
15,79,0.6377252340316772
16,80,0.6355277299880981
16,81,0.639924168586731
16,82,0.6440296173095703
16,83,0.6438560485839844
16,84,0.6393435001373291
17,85,0.6363663673400879
17,86,0.6346743702888489
17,87,0.6328136324882507
17,88,0.6328410506248474
17,89,0.631359875202179
18,90,0.6294829845428467
18,91,0.626889705657959
18,92,0.6243985891342163
18,93,0.6252376437187195
18,94,0.6283997893333435
19,95,0.6338041424751282
19,96,0.6332346200942993
19,97,0.6323422193527222
19,98,0.6332000494003296
19,99,0.632606565952301
