epoch,step,val_loss
0,0,1.1538532972335815
0,1,0.7784945964813232
0,2,0.7332460284233093
0,3,0.8366607427597046
0,4,0.7728645205497742
1,5,0.6971088647842407
1,6,0.7095584273338318
1,7,0.7635094523429871
1,8,0.784366250038147
1,9,0.7658176422119141
2,10,0.7353342175483704
2,11,0.7063499689102173
2,12,0.6876599192619324
2,13,0.6832082271575928
2,14,0.6861547827720642
3,15,0.690034031867981
3,16,0.6929103136062622
3,17,0.6915879249572754
3,18,0.6871713995933533
3,19,0.6817463636398315
4,20,0.6780231595039368
4,21,0.6767749786376953
4,22,0.6781221628189087
4,23,0.6809289455413818
4,24,0.6847535967826843
5,25,0.6897808909416199
5,26,0.6925597190856934
5,27,0.6921001672744751
5,28,0.6887117624282837
5,29,0.6859384179115295
6,30,0.6838966608047485
6,31,0.6801374554634094
6,32,0.6765861511230469
6,33,0.6745402812957764
6,34,0.6735295057296753
7,35,0.6733757853507996
7,36,0.6730610728263855
7,37,0.6729960441589355
7,38,0.6728927493095398
7,39,0.6717981696128845
8,40,0.6700233221054077
8,41,0.6697179675102234
8,42,0.6700090169906616
8,43,0.6702940464019775
8,44,0.6704510450363159
9,45,0.6693733334541321
9,46,0.6688434481620789
9,47,0.6647982001304626
9,48,0.661203920841217
9,49,0.6585748195648193
10,50,0.655791699886322
10,51,0.653594970703125
10,52,0.6525025963783264
10,53,0.651775598526001
10,54,0.6502535939216614
11,55,0.6497607231140137
11,56,0.6502107977867126
11,57,0.6509754061698914
11,58,0.6489464044570923
11,59,0.6504456996917725
12,60,0.6501020789146423
12,61,0.6513102650642395
12,62,0.6488205790519714
12,63,0.6487095355987549
12,64,0.6496661305427551
13,65,0.6505883932113647
13,66,0.6563995480537415
13,67,0.6559423804283142
13,68,0.6521112322807312
13,69,0.6563951373100281
14,70,0.6666891574859619
14,71,0.6736412644386292
14,72,0.6696997880935669
14,73,0.6604577898979187
14,74,0.6520287990570068
15,75,0.650785505771637
15,76,0.6496407389640808
15,77,0.6423134803771973
15,78,0.6414963603019714
15,79,0.6417350172996521
16,80,0.6435266733169556
16,81,0.6415988802909851
16,82,0.641836941242218
16,83,0.640239417552948
16,84,0.6370733380317688
17,85,0.6376990675926208
17,86,0.6384848952293396
17,87,0.6391690969467163
17,88,0.6360482573509216
17,89,0.6315190196037292
18,90,0.629775881767273
18,91,0.6280052661895752
18,92,0.6276370882987976
18,93,0.6272516250610352
18,94,0.6249779462814331
19,95,0.6246282458305359
19,96,0.629539966583252
19,97,0.63361656665802
19,98,0.6326882839202881
19,99,0.6256288290023804
